Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
3148263,27-Feb-25,District of Columbia,Washington,200 block of W St NW,0,1,0,0,0,N/A
3148233,26-Feb-25,District of Columbia,Washington,2nd St NW and W St NW,0,1,0,0,0,N/A
3148236,26-Feb-25,North Carolina,Rocky Mount,Tarboro St,0,1,0,0,0,N/A
3148209,26-Feb-25,Indiana,Indianapolis,3091 Baltimore Ave,0,0,1,0,0,N/A
3148230,26-Feb-25,North Carolina,Charlotte,12100 Susanna Dr,1,0,0,0,0,N/A
3148227,26-Feb-25,Minnesota,Minneapolis,3400 block of Park Ave,0,1,0,0,0,N/A
3148216,26-Feb-25,Illinois,Chicago,2245 W Jackson Blvd,0,0,0,0,0,N/A
3148200,26-Feb-25,Wisconsin,Milwaukee,4900 block of N 47th St,1,0,0,0,1,N/A
3148188,26-Feb-25,California,Los Angeles,6303 S Figueroa St,0,1,0,0,0,N/A
3148098,26-Feb-25,Kentucky,Louisville,3600 block of Manslick Rd,1,0,0,0,0,N/A
3148095,26-Feb-25,Pennsylvania,Pottstown,658 Beech St,0,2,0,0,0,N/A
3148091,26-Feb-25,Pennsylvania,Slatington,2919 Welshtown Rd,0,1,0,0,0,N/A
3148016,26-Feb-25,Pennsylvania,Philadelphia,2700 block of Bonsall St,1,0,0,0,0,N/A
3147934,26-Feb-25,Indiana,Mishawaka,700 block of Division St,1,1,0,0,1,N/A
3147988,26-Feb-25,Pennsylvania,Mckeesport,901 5th Ave,1,0,0,0,0,N/A
3147950,26-Feb-25,Michigan,Flint,2401 E Pierson Rd,0,0,0,1,1,N/A
3147947,26-Feb-25,New York,Olean,N 7th St,0,0,0,1,0,N/A
3147932,26-Feb-25,Arizona,Phoenix,51st Ave and W Indian School Rd,0,1,0,0,0,N/A
3147925,26-Feb-25,Michigan,Saginaw,2600 block of Maplewood Ave,1,1,0,0,0,N/A
3147850,26-Feb-25,Indiana,South Bend,800 block of E Indiana Ave,1,0,0,0,0,N/A
3147897,26-Feb-25,Wisconsin,Milwaukee,2700 block of W Highland Blvd,0,1,0,0,0,N/A
3147873,26-Feb-25,Oklahoma,Oklahoma City,N Martin Luther King Ave and Hardin Dr,0,1,0,0,0,N/A
3147868,26-Feb-25,Louisiana,Opelousas,Railroad Ave and Augustus St,1,0,0,0,0,N/A
3147863,26-Feb-25,Arizona,Dolan Springs,18000 block of Mariposa Dr,0,1,0,0,1,N/A
3147834,26-Feb-25,Nebraska,Lincoln,84th St and Sandalwood Dr,0,1,1,0,0,N/A
3147393,26-Feb-25,Arkansas,Leachville,807 Elm St,0,0,1,0,0,N/A
3147736,26-Feb-25,Arkansas,Little Rock,W 15th St and Schiller St,0,1,0,0,0,N/A
3147708,26-Feb-25,California,Lodi,W Pine St and N School St,0,1,0,0,1,N/A
3147677,26-Feb-25,California,Chatsworth,7236 Sunnybrae Ave,0,0,1,0,0,N/A
3147637,26-Feb-25,California,Los Angeles,8701 S St Andrews Pl,0,1,0,0,0,N/A
3147625,26-Feb-25,California,Pacoima,Foothill Blvd and Van Nuys Blvd,0,1,0,0,0,N/A
3147546,26-Feb-25,Illinois,Chicago,1400 block of S Tripp Ave,0,1,0,0,0,N/A
3147504,26-Feb-25,Florida,Hollywood (Miramar),6800 block of SW 27th Ct,0,1,0,0,0,N/A
3147493,26-Feb-25,Florida,Naples,Texas Ave and Mitchell St,1,0,0,0,0,N/A
3147174,26-Feb-25,Alabama,Bessemer,1800 block of Crescent Ave,1,1,0,0,0,N/A
3147276,26-Feb-25,Texas,Houston,4100 block of Ward St,1,0,0,0,0,N/A
3147289,26-Feb-25,Colorado,Denver,E Colfax Ave and Pennsylvania St,0,1,0,0,0,N/A
3147287,26-Feb-25,Colorado,Denver,1500 block of N Vine St,0,1,0,0,0,N/A
3147202,26-Feb-25,Texas,Austin,12300 Hymeadow Dr,0,2,0,0,0,N/A
3148255,26-Feb-25,Kentucky,Louisville,Carlisle Ave and Taylor Blvd,0,1,0,0,0,N/A
3148417,26-Feb-25,Tennessee,Memphis,Majestic Ave and Pearce St,0,1,0,0,0,N/A
3148412,26-Feb-25,Tennessee,Memphis,2400 block of E Hillview Dr,0,1,0,0,0,N/A
3148407,26-Feb-25,Tennessee,Memphis,6000 block of Raintree Dr,0,1,0,0,0,N/A
3148399,26-Feb-25,Tennessee,Memphis,Mosby Ave and Ashland St,0,1,0,0,0,N/A
3148385,26-Feb-25,Ohio,Columbus,4135 Blakewell Ln W,2,0,0,0,0,N/A
3148382,26-Feb-25,Ohio,Columbus,Parsons Ave,0,1,0,0,0,N/A
3148347,26-Feb-25,Tennessee,Nashville,Lost Hollow Dr,0,0,0,1,0,N/A
3148301,26-Feb-25,Arkansas,Little Rock,5805 Stagecoach Rd,1,0,0,0,0,N/A
3148258,26-Feb-25,Virginia,Norfolk,1400 block of W 49th St,0,2,0,0,0,N/A
3147251,25-Feb-25,District of Columbia,Washington,399 M St SW,0,1,0,0,4,N/A
3147001,25-Feb-25,Wisconsin,Green Bay (Bellevue),1976 Verlin Rd,0,1,0,0,0,N/A
3148224,25-Feb-25,Georgia,Atlanta,Piedmont Ave NE and North Ave NE,0,1,0,0,0,N/A
3148093,25-Feb-25,Georgia,Augusta,700 block of Tuttle St,0,1,0,0,0,N/A
3146962,25-Feb-25,Virginia,Petersburg,2151 Jamestown Rd,1,0,0,0,0,N/A
3146950,25-Feb-25,Indiana,Indianapolis,5300 block of W 34th Pl,1,0,0,0,0,N/A
3148164,25-Feb-25,New York,Bronx,350 Gerard Ave,0,0,0,0,1,N/A
3147207,25-Feb-25,Virginia,Richmond,1700 block of Southlawn Ave,1,0,0,0,0,N/A
3146902,25-Feb-25,South Carolina,Chester,1330 J A Cochran Bypass,0,0,0,0,1,N/A
3146898,25-Feb-25,Missouri,Kansas City,Cliff Dr Pl and Sunrise Dr,1,0,0,0,0,N/A
3146894,25-Feb-25,Indiana,Indianapolis,400 block of Oakland Ave,1,0,0,0,0,N/A
3146618,25-Feb-25,Louisiana,Shreveport,2616 Wren Ct,1,0,0,0,0,N/A
3146799,25-Feb-25,Michigan,Sterling Heights,Sugar Maple Dr,0,1,0,0,0,N/A
3146854,25-Feb-25,New York,Brooklyn,1468 Eastern Pkwy,0,1,0,0,0,N/A
3148122,25-Feb-25,Michigan,Lansing,Pleasant Grove Rd and W Mt Hope Ave,0,1,0,0,0,N/A
3148120,25-Feb-25,Pennsylvania,Philadelphia,5700 block of Ogontz Ave,0,1,0,0,0,N/A
3148118,25-Feb-25,Pennsylvania,Philadelphia,500 block of Morris St,0,1,0,0,0,N/A
3148116,25-Feb-25,Pennsylvania,Philadelphia,100 block of S 52nd St,0,1,0,0,0,N/A
3148100,25-Feb-25,Pennsylvania,Philadelphia,1200 block of W Russell St,0,1,0,0,0,N/A
3146775,25-Feb-25,Indiana,Indianapolis,120 block of S State Ave,0,0,1,0,0,N/A
3146680,25-Feb-25,Tennessee,Memphis,2536 N Watkins St,0,1,0,0,0,N/A
3147961,25-Feb-25,New York,Rochester,Lyell Ave,0,2,0,0,1,N/A
3146770,25-Feb-25,Minnesota,Minneapolis,900 block of W Broadway,0,3,0,0,0,N/A
3147894,25-Feb-25,Maryland,Baltimore,3300 block of Greenmount Ave,0,1,0,0,0,N/A
3147941,25-Feb-25,Georgia,Jonesboro,300 block of Arrowhead Blvd,0,2,0,1,0,N/A
3147913,25-Feb-25,Wisconsin,Milwaukee,N 22nd St and W Wisconsin Ave,0,1,0,0,0,N/A
3147875,25-Feb-25,Nevada,Basalt,US-6,0,1,0,0,0,N/A
3147587,25-Feb-25,South Carolina,Saint Matthews,155 Chickadee Cir,1,0,0,0,1,N/A
3147888,25-Feb-25,Louisiana,New Orleans,Piety St and N Miro St,0,1,0,0,0,N/A
3147880,25-Feb-25,Oklahoma,Oklahoma City,NE 16th St and Lottie Ave,1,0,0,0,1,N/A
3146589,25-Feb-25,Louisiana,Baton Rouge,5100 block of Madison Ave,0,1,0,0,1,N/A
